紫雪,紫雪，用于热病，高热烦燥，神昏谵语，惊风抽搐，斑疹叶衄，尿赤便秘。
依托红霉素片,依托红霉素片（Erythromycin Estolate Tablets），1.本品作为青霉素过敏患者治疗下列感染的替代用药：溶血性链球菌、肺炎链球菌等所致的急性扁桃体炎、急性咽炎、鼻窦炎;溶血性链球菌所致的猩红热、蜂窝织炎;白喉及白喉带菌者;气性坏疽、炭疽、破伤风;放线菌病;梅毒;李斯特菌病等。 2.军团菌病。 3.肺炎支原体肺炎。4.肺炎衣原体肺炎。5.其他衣原体属、支原体属所致泌尿生殖系感染。6.沙眼衣原体结膜炎。 7.厌氧菌所致口腔感染。8.空肠弯曲菌肠炎。9.百日咳。10.风湿热复发、感染性心内膜炎(风湿性心脏病、先天性心脏病、心脏瓣膜置换术后)、预防口腔或上呼吸道感染(青霉素的替代用药)。
克林霉素甲硝唑搽剂,克林霉素甲硝唑搽剂，商品名座康王。用于寻常痤疮，也可用于脂溢性皮炎及酒渣鼻、毛囊炎。
注射用甲硝唑磷酸二钠,注射用甲硝唑磷酸二钠（Metronidazole Disodium Phosphate for），用于由厌氧菌所致的各种感染性疾病，如败血症、心内膜炎、脓胸、肺脓肿、腹腔感染、盆腔感染、妇科感染、骨和关节感染、脑膜炎、脑脓肿、皮肤软组织感染等。
舒腹贴膏,舒腹贴膏，温中散寒，行气止痛。用于胃脘痛，腹痛腹胀，恶心，呕吐，食欲不振，肠鸣腹泻，小儿泄泻。
熊胆黄芩滴眼液,熊胆黄芩滴眼液，抗菌消炎，收敛止痛，去翳明目。用于结膜炎、外伤性角膜炎、脸缘炎、沙眼、麦粒肿等。
益气聪明丸,性状：水蜜丸。
复方地西泮片,复方地西泮片（Compound Diazepam Tablets），焦虑性神经症、慢性焦虑状态、惊恐症、肌紧张性头痛以及家族性、老年性和特发性震颤。
环磷腺苷葡胺注射液,环磷腺苷葡胺注射液（Meglumine Adenosine Cyclophosphate Injection），用于心力衰竭、心肌炎、病窦综合征、冠心病及心肌病，也可用于心律失常的辅助治疗。
生血丸,生血丸，商品名达仁堂。补肾健脾、填精补髓。用于失血血亏，放化疗后全血细胞减少及再生障碍性贫血。
灭菌结晶磺胺,灭菌结晶磺胺（Sterile Crystal Sulfanilamide），商品名消炎粉。用于溶血性链球菌及葡萄球菌等的外伤感染。
海马补肾丸,海马补肾丸，滋阴补肾，强壮健脑。用于身体衰弱，气血两亏，肾气不足，面黄肌瘦，心跳气短，腰酸腿疼，健忘虚喘。
复方胃蛋白酶颗粒,复方胃蛋白酶颗粒（Compound Saccharated Pepsin Granules），用于胃蛋白酶缺乏或病后消化机能减退引起的消化不良症。
5-氨基水杨酸肠溶片,5-氨基水杨酸肠溶片（5-Aminosalicylic Acid Enteric-Coated Tablets），商品名安洁莎。适用于结肠溃疡、结肠炎的治疗。
牛磺酸滴眼液,牛磺酸滴眼液（Taurine Eye Drops），用于牛磺酸代谢失调引起的白内障。也可用于急性结膜炎、疱疹性结膜炎、病毒性结膜炎的辅助治疗。
妇肤康喷雾剂,妇肤康喷雾剂，苗医蒙赊，布发讲港，嘎溜纳格，写嘎发。中医清热解毒，活血止痛，杀虫止痒。用于霉菌性阴道炎、滴虫性阴道炎、细菌性阴道病、外阴炎、皮肤瘙痒等。
七参连软膏,七参连软膏，用于因风湿热毒瘀阻引起的湿疹渗出不多者。
滴耳油,滴耳油，商品名侯博士滴耳油。清热解毒，消肿止痛。用于肝经湿热上攻，耳鸣耳聋，耳内生疮，肿痛刺痒，破流脓水，久不收敛。
乳酸左氧氟沙星氯化钠注射液,乳酸左氧氟沙星氯化钠注射液（Levofloxacin Lactate and Sodium Cholride Injection），商品名来立信。本品适用于敏感细菌所引起的下列中、重度感染：呼吸系统感染：急性支气管炎、慢性支气管炎急性发作、弥漫性细支气管炎、支气管扩张合并感染、肺炎、扁桃体炎（扁桃体周脓肿）；泌尿系统感染：肾盂肾炎、复杂性尿路感染等；生殖系统感染：急性前列腺炎、急性附睾炎、宫腔感染、子宫附件炎、盆腔炎（疑有厌氧菌感染时可合用甲硝唑）；皮肤软组织感染：传染性脓疱病、蜂窝组织炎、淋巴管（结）炎、皮下脓肿、肛周脓肿等；肠道感染：细菌性痢疾、感染性肠炎、沙门菌属肠炎、伤寒及副伤寒；败血症、粒细胞减少及免疫功能低下患者的各种感染；其他感染：乳腺炎、外伤、烧伤及手术后伤口感染、腹腔感染（必要时合用甲硝唑）、胆囊炎、胆管炎、骨与关节感染以及五官科感染等。
沙美特罗替卡松粉吸入剂,沙美特罗替卡松粉吸入剂（Salmeterol Xinafoate and Fluticasone Propionate Powder for Inhalation），商品名舒利迭。预防和治疗季节性过敏性鼻炎（包括枯草热）和常年性过敏性鼻炎。
甲硝唑氯化钠注射液,甲硝唑氯化钠注射液（Metronidazole and Sodium Chloride Injection），主要用于厌氧菌感染的治疗。
肌氨肽苷注射液,肌氨肽苷注射液（Muscular Amino Acids and Peptides and Nucleosides Injection），用于脑功能紊乱;脑卒中、脑供血不足所致脑功能减退;周围神经疾病。
大蒜素胶囊,大蒜素胶囊（Garlicin Capsules），本品为抗深部霉菌和细菌的新型抗菌药，用于治疗消化道及肺部霉菌感染(白色念珠菌菌血症、急慢性菌痢、急慢性肠炎、百日咳)。
烟酸肌醇酯片,烟酸肌醇酯片（Inositol Nicotinate Tablets），本品用于高脂血症、动脉粥样硬化、各种末梢血管障碍性疾病（如闭塞性动脉硬化症、肢端动脉痉挛症、冻伤、血管性偏头痛等）的辅助治疗。
六甲蜜胺胶囊,六甲蜜胺胶囊（Altretamine Capsules），本品用于卵巢癌、SCLC、恶性淋巴瘤、子宫内膜癌的联合化疗，对卵巢癌及 SCLC疗效尤佳。
伏立康唑片,伏立康唑片，本品是一种广谱的三唑类抗真菌药，其适应症如下：治疗侵袭性曲霉病。治疗对氟康唑耐药的念珠菌引起的严重侵袭性感染(包括克柔念珠菌)。治疗由足放线病菌属和镰刀菌属引起的严重感染。本品应主要用于治疗免疫缺陷患者中进行性的、可能威胁生命的感染。
脱氧核苷酸钠片,脱氧核苷酸钠片（Sodium Deoxyribonucleotide Tablets），商品名英乐。用于急、慢性肝炎，白细胞减少症，血小板减少症及再生障碍性贫血等的辅助治疗。
内消瘰疬丸,内消瘰疬丸——慢性淋巴结炎、淋巴结核、乳腺增生症、乳房良性肿块
维生素D2注射液,维生素D2注射液
马来酸噻吗洛尔滴眼液,马来酸噻吗洛尔滴眼液（TimololMaleateEyeDrops），对原发性开角型青光眼具有良好的降低眼内压疗效。对于某些继发性青光眼，高眼压症，部分原发性闭角型青光眼以及其他药物及手术无效的青光眼，加用本品滴眼可进一步增强降眼压效果。
盐酸羟苄唑滴眼液,盐酸羟苄唑（Hydruobenzole Hydrochloride），商品名盐酸羟苄唑滴眼液。用于急性流行性出血性结膜炎。
健骨生丸,【品 名】健骨生丸
麦味地黄口服液,麦味地黄口服液，滋肾养肺。用于肺肾阴亏，潮热盗汗，咽干，眩晕耳鸣，腰膝酸软。
盐酸阿夫唑嗪缓释片,[拼音名]：yansuan'afuzuoqinhuanshipian
肥儿宝颗粒,肥儿宝颗粒，利湿消积，驱虫助食，健脾益气。用于小儿疳积，暑热腹泻，纳呆自汗，烦躁失眠。
葡萄糖酸钙口服溶液,葡萄糖酸钙口服溶液（Calcium Glucomate Oral Solution），商品名锌钙特。用于预防和治疗钙缺乏症，如骨质疏松、手足抽搐症、骨发育不全、佝偻病以及儿童、妊娠和哺乳期妇女、绝经期妇女、老年人钙的补充。
盐酸西布曲明胶囊,盐酸西布曲明胶囊（Sibutramine Hydrochloride Capsules），商品名澳曲轻、苗乐、可秀、曲美、新芬美琳。用于饮食控制和运动不能减轻和控制体重的肥胖症治疗。推荐用于体重指数（BMI）≥30kg/m2，或≥28kg/m2同时伴有其他危险因素如糖尿病、血脂异常等的肥胖症患者。注：BMI（kg/m2）＝体重（kg）/身高平方（m2）。
夏枯草口服液,夏枯草口服液，清火，明目，散结，消肿。用于头痛眩晕，瘰疬，瘿瘤，乳痈肿痛，甲状腺肿大，淋巴结结核，乳腺增生症，高血压症。
双氯芬酸钠滴眼液,双氯芬酸钠滴眼液（Diclofenac Sodium Eye Drops），商品名佳贝、乐可、宝彤、辰景、联邦舒晶晶。用于眼科手术后非细菌性炎症的治疗。
温经活血片,温经活血片，补气养血，温经活血。用于气虚血瘀证所致的月经后期，量少，行经腹痛，腰腿酸痛，四肢无力。
丹鳖胶囊,丹鳖胶囊，活血化瘀，软坚散结。用于气滞血瘀所致子宫肌瘤、盆腔炎性包块，症见小腹胀痛、腰骶酸痛、带下量多、肛门坠胀、舌暗有斑。
消癌平糖浆,消癌平糖浆，抗癌，消炎，平喘。用于食道癌、胃癌、肺癌、肝癌。对恶性淋巴瘤、大肠癌、宫颈癌、白血病等恶性肿瘤亦有疗效。并可配合放疗、化疗和手术后治疗，并用于慢性支气管炎、支气管哮喘。
复方角菜酸酯栓,复方角菜酸酯栓（Compound Carraghenates Suppositories），商品名太宁。用于痔疮及其他肛门疾患引起的疼痛、肿胀、出血和瘙痒的对症治疗；亦可用于缓解肛门局部手术后的不适。
维酶素片,维酶素片（Vitacoenzyme　Tablets），用于萎缩性胃炎，亦可用于食道上皮增生症。
注射用头孢呋辛钠,注射用头孢呋辛钠（Cefuroxime Sodium for Injection），是头孢呋辛（第二代头孢菌素）的注射用剂，市场上有较多该类药品，商品名各不相同：商品名西力欣、信立欣、丽扶欣、明可欣、优乐新、立健新、新福欣、亚星、达力新(头孢呋辛钠)、力复乐、安可欣。
心脑康胶囊,心脑康胶囊，活血化瘀，通窍止痛，扩张血管，增加冠状动脉血流量。用于冠心病，心绞痛及脑动脉硬化症。
壮腰健肾丸,壮腰健肾丸，壮腰健肾，养血，祛风湿。用于肾亏腰痛，膝软无力，小便频数，风湿骨痛,神经衰弱。
米索前列醇片,米索前列醇片（Misoprostol　Tablets），本品与米非司酮序贯合并使用，可用于终止停经49天内的早期妊娠。
宁神丸,宁神丸
灵孢多糖注射液,灵孢多糖注射液（Polysacharidum　of　G.Lucidum　Karst　Injection），用于治疗神经官能症、多发性肌炎、皮肌炎、萎缩性肌强直与进行性肌营养不良以及因免疫功能所致的各种疾病。
天王补心丸,天王补心丸，滋阴，养血，补心安神。用于心阴不足，心悸健忘，失眠多梦，大便干燥。
醋酸氟轻松乳膏,醋酸氟轻松乳膏
雷公藤多苷片,雷公藤多甙片，祛风解毒、除湿消肿、舒筋通络。有抗炎及抑制细胞免疫和体液免疫等作用。用于风湿热阏，毒邪阻滞所致的类风湿性关节炎，肾病综合症，白塞氏三联症，麻风反应，自身免疫性肝炎等。
氧氟沙星滴耳液,氧氟沙星滴耳液（Ofloxacin Ear Drops），用于治疗敏感菌引起的中耳炎、外耳道炎、鼓膜炎。
跳骨片,跳骨片
阿法骨化醇胶囊,【药品名称】
阿莫西林克拉维酸钾片,阿莫西林-克拉维酸钾片（Amoxicillin and Clavulanate Potassium Tablets），商品名力百汀、安奇、强力阿莫仙。用于上呼吸道及下呼吸道感染（包括耳鼻喉），生殖泌尿道感染，皮肤及软组织感染，骨及关节感染及其他细菌感染的短期治疗，如脓毒性流产，产褥期败血症，腹内脓毒血症，败血症，腹膜炎，术后感染等。力百汀注射液也可用于预防外科手术过程中的伴随感染，如胃肠道手术，骨盆，头颈，心脏，肾，关节复位手术及胆道手术等。力百汀具有较宽的抗菌谱，包括β-内酰胺酶产生的对氨苄西林和阿莫西林耐受的菌株。
参茸强肾片,参茸强肾片，补肾壮阳，填精益髓。用于肾阳不足，精血亏损而致的肢倦神疲，眩晕健忘，阳萎早泄，不育不孕，腰膝冷痛等症。
三金片,三金片，清热解毒，利湿。用于下焦湿热所致的小便短赤，淋沥涩痛。
硝呋太尔阴道片,硝呋太尔阴道片（Nifuratel　Tablets），商品名麦咪诺。治疗由细菌、滴虫，霉菌和念珠菌引起的外阴、阴道感染和白带增多及泌尿系统感染、消化道阿米巴病及贾第虫病。
雌三醇乳膏,雌三醇乳膏，商品名欧维婷。雌激素缺乏引起的泌尿生殖道萎缩性症状 ;预防复发性阴道炎和尿道下部的感染 ;尿频、尿痛和轻度尿失禁。也可用于绝经后妇女阴道术前和术后，以及可疑的萎缩性宫颈涂片辅助诊断。
夫西地酸乳膏,夫西地酸乳膏（Fusidic Acid Cream），商品名立思丁、奥络。夫西地酸乳膏适用于各种细菌性皮肤感染，主要用于革兰氏阳性球菌引起的皮肤感染。如脓疱病，疖肿，毛囊炎，甲沟炎，须疮，汗腺炎，红癣，寻常痤疮，创伤合并感染，湿疹合并感染，溃疡合并感染等
益母草软胶囊,益母草软胶囊，活血调经。用于月经量少，产后腹痛。
当归拈痛丸,性状：水丸剂。
小儿咳喘灵颗粒,小儿咳喘灵颗粒，宣肺、清热，止咳、祛痰。用于上呼吸道感染引起的咳嗽。
螺内酯胶囊,螺内酯胶囊（Spironolactone Capsules），1水肿性疾病 与其他利尿药合用，治疗充血性水肿、肝硬化腹水、肾性水肿等水肿性疾病，其目的在于纠正上述疾病时伴发的继发性醛固酮分泌增多，并对抗其他利尿药的排钾作用。也用于特发性水肿的治疗。2 高血压作为治疗高血压的辅助药物。3 原发性醛固酮增多症 螺内醋可用于此病的诊断和治疗。4 低钾血症的预防 与噻嗪类利尿药合用，增强利尿效应和预防低钾血症。
妇炎康丸,妇炎康丸，活血化瘀，软坚散结，清热解毒，消炎镇痛。用于慢性附件炎、盆腔炎、阴道炎、膀胱炎、慢性阑尾炎、尿路感染。
养血安神颗粒,养血安神颗粒，滋阴养血，宁心安神。用于阴虚血少所致的头眩心悸，失眠健忘。
氟康唑分散片,【药品名称】：氟康唑分散片
刺五加片,刺五加片，益气健脾，补肾安神。用于脾肾阳虚，体虚乏力，食欲不振，腰膝酸痛，失眠多梦。
注射用头孢唑肟钠,注射用头孢唑肟钠（Ceftizoxime Sodium for Injection），商品名益保世灵、达力清、达力净。敏感菌所致的下呼吸道感染、尿路感染、腹腔感染、盆腔感染、败血症、皮肤软组织感染、骨和关节感染、肺炎链球菌或流感嗜血杆菌所致脑膜炎和单纯性淋病。
槐角丸,槐角丸，清肠疏风，凉血止血。用于血热所致的肠风便血、痔疮肿痛。
熊去氧胆酸胶囊,熊去氧胆酸胶囊（Ursodeoxycholic Acid），商品名优思弗。用于预防及治疗胆固醇结石及结石所引起的胆囊炎、胆管炎、胆汁性消化不良、黄疸等。另可用于急慢性肝炎、高脂血症、回肠病变所致脂肪泻、胆汁反流性胃炎。
